dgp,drift_z,logreg_logloss,mlp_excess_logloss,mlp_logloss,n_test_class1,n_train_class1,seed,trial,weighted_drift_score
interaction_binary,0.0,0.6854816821229338,-0.06960246306180995,0.6158792190611239,263,1026,2,0,0.06528731475373907
interaction_binary,0.0,0.691644521512827,-0.07742781869503368,0.6142167028177933,234,1002,2,1,0.011600666398589206
interaction_binary,0.0,0.6842153889126751,-0.05615490958684077,0.6280604793258343,244,998,2,2,0.021561271623554642
interaction_binary,1.0,0.670720518245452,-0.09664202656152332,0.5740784916839287,294,1026,2,0,0.6517007382240496
interaction_binary,1.0,0.702470172984584,-0.14051842857649444,0.5619517444080896,263,1002,2,1,0.7074502942262813
interaction_binary,1.0,0.6756083413498661,-0.09775710173875651,0.5778512396111096,266,998,2,2,0.7310980501505098
interaction_binary,2.0,0.6627342464990214,-0.17143216020606172,0.4913020862929596,299,1026,2,0,1.353074555399391
interaction_binary,2.0,0.7075029286229022,-0.2455576340928537,0.4619452945300485,294,1002,2,1,1.4032999220539712
interaction_binary,2.0,0.6763420087839789,-0.14412397241571728,0.5322180363682616,274,998,2,2,1.4507621227457823
interaction_binary,3.0,0.654621033246173,-0.2334695897684237,0.42115144347774935,309,1026,2,0,2.054448372574732
interaction_binary,3.0,0.7150651905305164,-0.31905588146469716,0.39600930906581927,308,1002,2,1,2.099149549881663
interaction_binary,3.0,0.6635535357554736,-0.19986754630757386,0.46368598944789974,301,998,2,2,2.1704261953410526
interaction_binary,5.0,0.6637849193669042,-0.24400374844925454,0.41978117091764966,314,1026,2,0,3.457196006925409
interaction_binary,5.0,0.7829380688391184,-0.40751157000959093,0.3754264988295275,313,1002,2,1,3.4908488055370452
interaction_binary,5.0,0.6579238104366713,-0.23004277900667847,0.4278810314299928,315,998,2,2,3.6097543405315955
interaction_binary,7.0,0.7000523592070639,-0.17430373725968062,0.5257486219473833,314,1026,2,0,4.859943641276094
interaction_binary,7.0,0.8996681925543472,-0.4483272134832361,0.45134097907111104,313,1002,2,1,4.882548061192426
interaction_binary,7.0,0.6746081851877839,-0.20906999056866266,0.4655381946191212,316,998,2,2,5.049082485722139
interaction_binary,10.0,0.7860914608068345,0.001196148783855766,0.7872876095906902,313,1026,2,0,6.964065092802122
interaction_binary,10.0,1.1033082419923061,-0.5079597606550559,0.5953484813372503,318,1002,2,1,6.970096944675494
interaction_binary,10.0,0.7317397962153422,-0.12587495748337574,0.6058648387319665,317,998,2,2,7.208074703507958
interaction_binary,15.0,0.9991537929869557,0.35933965590577543,1.3584934488927312,312,1026,2,0,10.47093417867882
interaction_binary,15.0,1.5788960592577987,-0.5608477570792478,1.018048302178551,315,1002,2,1,10.449345083813954
interaction_binary,15.0,0.8974660473280621,0.06411494342968649,0.9615809907577486,316,998,2,2,10.806395066484317
interaction_binary,20.0,1.243712124443666,0.7039495194721046,1.9476616439157706,314,1026,2,0,13.977803264555519
interaction_binary,20.0,2.0862988506128697,-0.5779239555322953,1.5083748950805744,314,1002,2,1,13.928593222952415
interaction_binary,20.0,1.1037017527899744,0.2636008115163275,1.367302564306302,317,998,2,2,14.404715429460682
sinusoidal_binary,0.0,0.4772041634353485,0.15433640680088673,0.6315405702362352,245,993,2,0,0.02767163131893729
sinusoidal_binary,0.0,0.4182468496033206,0.0786435340151877,0.4968903836185083,248,982,2,1,0.025365111109393407
sinusoidal_binary,0.0,0.42927297774516476,0.008977641769848055,0.4382506195150128,237,1027,2,2,0.05599177998446761
sinusoidal_binary,1.0,0.39926057355728084,0.20097884340451178,0.6002394169617926,378,993,2,0,0.6892291868434909
sinusoidal_binary,1.0,0.337459654943367,0.09556951614892628,0.4330291710922933,383,982,2,1,0.7095098393432161
sinusoidal_binary,1.0,0.35512240993537236,0.0024682602303725543,0.3575906701657449,391,1027,2,2,0.6909146315954595
sinusoidal_binary,2.0,0.3555563260936863,0.1729257001681475,0.5284820262618338,450,993,2,0,1.3958535406200752
sinusoidal_binary,2.0,0.24992454768941322,0.05807837152890985,0.30800291921832307,458,982,2,1,1.41986920712114
sinusoidal_binary,2.0,0.23206426293969987,-0.013863798763985441,0.21820046417571443,467,1027,2,2,1.4071658384705321
sinusoidal_binary,3.0,0.37240237247712077,0.09310881782573671,0.4655111903028575,472,993,2,0,2.1024778943966584
